Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
7470422465,14785709,5976,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7485209166,2496,5985,,,,,,,,,,0.008,3282.051,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
7485212782,14869389,5989,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7500096251,14782989,6025,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7514880520,2496,6034,,,,,,,,,,0.008,3282.051,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
7514884328,14866317,6038,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7529764309,14784781,6074,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7544550434,2624,6083,,,,,,,,,,0.008,3121.947,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
7544555298,14870124,6087,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7559439310,14785134,6123,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
