run_timestamp_utc,model,prompt_len,variant,replace_ln,status,error_type,error_message,canonical_num_hidden_layers,num_hidden_layers,hidden_size,intermediate_size,parameter_count,parameter_count_with_lm_head,estimated_runtime_memory_gib,warmup,repeat,ttft_ms,prefill_tflops_s,avg_power_watts,max_power_watts,avg_gpu_clock_mhz,max_gpu_clock_mhz,monitor_sample_count,monitor_csv
2026-04-14T17:55:59.498024Z,13B,16,baseline,False,ok,,,40,40,5120,13824,12852034560,13015874560,24.243955612182617,5,10,27.317822445183992,14.870085022886384,240.59370370370368,250.31,1410.0,1410,27,monitor/13B_prompt16_baseline.csv
2026-04-14T17:56:00.920961Z,13B,16,replace_ln,True,ok,,,40,40,5120,13824,12852034560,13015874560,24.243955612182617,5,10,22.897204756736755,17.740957759504838,255.71652173913046,256.67,1410.0,1410,23,monitor/13B_prompt16_replace_ln.csv
2026-04-14T17:56:01.332528Z,13B,32,baseline,False,ok,,,40,40,5120,13824,12852034560,13015874560,24.243955612182617,5,10,26.822542026638985,30.304961938085757,251.10923076923078,261.62,1410.0,1410,26,monitor/13B_prompt32_baseline.csv
2026-04-14T17:56:01.786383Z,13B,32,replace_ln,True,ok,,,40,40,5120,13824,12852034560,13015874560,24.243955612182617,5,10,24.03025534003973,33.82636196318737,249.34875,252.89,1410.0,1410,24,monitor/13B_prompt32_replace_ln.csv
2026-04-14T17:56:02.201622Z,13B,64,baseline,False,ok,,,40,40,5120,13824,12852034560,13015874560,24.243955612182617,5,10,28.381850384175777,57.339106857787776,287.295,306.74,1410.0,1410,28,monitor/13B_prompt64_baseline.csv
2026-04-14T17:56:02.660402Z,13B,64,replace_ln,True,ok,,,40,40,5120,13824,12852034560,13015874560,24.243955612182617,5,10,23.234864324331284,70.04086313066247,269.8917391304348,271.47,1410.0,1410,23,monitor/13B_prompt64_replace_ln.csv
2026-04-14T17:56:03.061733Z,13B,128,baseline,False,ok,,,40,40,5120,13824,12852034560,13015874560,24.243955612182617,5,10,29.99306945130229,108.74148095097306,333.7731034482759,335.98,1410.0,1410,29,monitor/13B_prompt128_baseline.csv
2026-04-14T17:56:03.562286Z,13B,128,replace_ln,True,ok,,,40,40,5120,13824,12852034560,13015874560,24.243955612182617,5,10,28.827836830168962,113.13685482591528,268.32714285714286,268.52,1410.0,1410,28,monitor/13B_prompt128_replace_ln.csv
2026-04-14T17:56:04.043187Z,13B,256,baseline,False,ok,,,40,40,5120,13824,12852034560,13015874560,24.243955612182617,5,10,35.06393330171704,186.79664571684722,398.04970588235295,411.67,1335.8823529411766,1350,34,monitor/13B_prompt256_baseline.csv
2026-04-14T17:56:04.618062Z,13B,256,replace_ln,True,ok,,,40,40,5120,13824,12852034560,13015874560,24.243955612182617,5,10,32.606251537799835,200.876360130109,331.588125,341.79,1410.0,1410,32,monitor/13B_prompt256_replace_ln.csv
2026-04-14T17:56:05.160232Z,13B,512,baseline,False,ok,,,40,40,5120,13824,12852034560,13015874560,24.243955612182617,5,10,63.10298405587673,209.29318371862382,399.6659677419355,409.95,1336.6935483870968,1350,62,monitor/13B_prompt512_baseline.csv
2026-04-14T17:56:06.153346Z,13B,512,replace_ln,True,ok,,,40,40,5120,13824,12852034560,13015874560,24.243955612182617,5,10,58.34744591265917,226.3513720029788,332.2115789473684,353.64,1410.0,1410,57,monitor/13B_prompt512_replace_ln.csv
2026-04-14T17:56:07.077043Z,13B,1024,baseline,False,ok,,,40,40,5120,13824,12852034560,13015874560,24.243955612182617,5,10,123.89321522787213,216.66679285566747,399.2553278688525,408.18,1341.8852459016393,1350,122,monitor/13B_prompt1024_baseline.csv
2026-04-14T17:56:08.987581Z,13B,1024,replace_ln,True,ok,,,40,40,5120,13824,12852034560,13015874560,24.243955612182617,5,10,115.18545979633927,233.0463033047954,325.81690265486725,385.38,1410.0,1410,113,monitor/13B_prompt1024_replace_ln.csv
2026-04-14T17:56:10.767761Z,13B,2048,baseline,False,ok,,,40,40,5120,13824,12852034560,13015874560,24.243955612182617,5,10,232.9200016334653,237.87170586400833,396.819344978166,407.32,1307.6855895196506,1320,229,monitor/13B_prompt2048_baseline.csv
2026-04-14T17:56:14.307380Z,13B,2048,replace_ln,True,ok,,,40,40,5120,13824,12852034560,13015874560,24.243955612182617,5,10,211.04309372603893,262.5296906911482,338.37903846153847,438.84,1402.860576923077,1410,208,monitor/13B_prompt2048_replace_ln.csv
2026-04-14T17:56:17.522844Z,13B,4096,baseline,False,ok,,,40,40,5120,13824,12852034560,13015874560,24.243955612182617,5,10,479.3307959102094,245.51333841784867,397.4635881104034,412.8,1305.3184713375797,1320,471,monitor/13B_prompt4096_baseline.csv
2026-04-14T17:56:24.760309Z,13B,4096,replace_ln,True,ok,,,40,40,5120,13824,12852034560,13015874560,24.243955612182617,5,10,434.6453915350139,270.7542889038543,324.68210772833726,452.45,1402.3067915690867,1410,427,monitor/13B_prompt4096_replace_ln.csv
2026-04-14T17:56:31.329991Z,13B,8192,baseline,False,ok,,,40,40,5120,13824,12852034560,13015874560,24.243955612182617,5,10,1019.5606548339128,257.80908400983634,396.9237225548902,410.82,1304.8502994011976,1305,1002,monitor/13B_prompt8192_baseline.csv
