Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
12834635773,18738751,12052,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
12853376091,3008,12061,,,,,,,,,,0.008,2723.398,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
12853380347,18814846,12065,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
12872211225,18739391,12101,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
12890951864,3040,12110,,,,,,,,,,0.008,2694.734,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
12890956408,18818622,12114,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
12909791094,18737214,12150,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
12928529620,3040,12159,,,,,,,,,,0.008,2694.734,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
12928534932,18815710,12163,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
12947366386,18737886,12199,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
12966105520,3040,12208,,,,,,,,,,0.008,2694.734,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
12966109808,18818430,12212,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
12984943918,18738623,12248,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
13003683821,3200,12257,,,,,,,,,,0.008,2560.000,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
13003688429,18814014,12261,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
13022518507,18740318,12297,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
13041260393,3200,12306,,,,,,,,,,0.008,2560.000,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
13041264809,18818718,12310,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
