elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz,temperature_c
6.194,365.0,1410,1215,47
6.204,365.32,1410,1215,47
6.215,365.32,1410,1215,47
6.225,365.32,1410,1215,47
6.235,365.32,1410,1215,47
6.245,365.32,1410,1215,47
6.255,365.32,1410,1215,47
6.266,365.32,1410,1215,47
6.276,365.32,1410,1215,47
6.286,365.32,1410,1215,47
6.296,365.32,1410,1215,47
6.306,365.32,1410,1215,47
6.316,365.32,1410,1215,47
6.327,365.32,1410,1215,47
6.337,365.32,1410,1215,47
6.347,365.32,1410,1215,47
6.357,365.32,1410,1215,47
6.367,365.32,1410,1215,47
6.378,365.32,1410,1215,47
6.388,365.32,1410,1215,47
6.398,363.6,1410,1215,47
6.408,363.6,1410,1215,47
6.418,363.6,1410,1215,47
6.429,363.6,1410,1215,47
6.439,363.6,1410,1215,47
6.449,363.6,1410,1215,47
6.459,363.6,1410,1215,47
6.469,363.6,1410,1215,47
6.479,363.6,1410,1215,47
6.49,363.6,1410,1215,47
6.5,366.45,1410,1215,47
6.51,366.45,1410,1215,47
6.52,366.45,1410,1215,47
6.53,366.45,1410,1215,47
6.541,366.45,1410,1215,47
6.551,366.45,1410,1215,47
6.561,366.45,1410,1215,47
6.571,366.45,1410,1215,47
6.581,366.45,1410,1215,47
6.591,366.45,1410,1215,47
6.602,365.32,1410,1215,48
6.612,365.32,1410,1215,48
6.622,365.32,1410,1215,48
6.632,365.32,1410,1215,48
6.642,365.32,1410,1215,48
6.653,365.32,1410,1215,48
6.663,365.32,1410,1215,48
6.673,365.32,1410,1215,48
6.683,365.32,1410,1215,48
6.693,365.32,1410,1215,48
6.704,365.6,1410,1215,48
6.714,365.6,1410,1215,48
6.724,365.6,1410,1215,48
6.734,365.6,1410,1215,48
6.744,365.6,1410,1215,48
6.754,365.6,1410,1215,48
6.765,365.6,1410,1215,48
6.775,365.6,1410,1215,48
6.785,365.6,1410,1215,48
6.795,365.6,1410,1215,48
6.805,366.19,1410,1215,48
6.816,366.19,1410,1215,48
6.826,366.19,1410,1215,48
6.836,366.19,1410,1215,48
6.846,366.19,1410,1215,48
6.856,366.19,1410,1215,48
6.867,366.19,1410,1215,48
6.877,366.19,1410,1215,48
6.887,366.19,1410,1215,48
6.897,365.6,1410,1215,48
6.907,365.6,1410,1215,48
6.918,365.6,1410,1215,48
6.928,365.6,1410,1215,48
6.938,365.6,1410,1215,48
6.948,365.6,1410,1215,48
6.958,365.6,1410,1215,48
6.968,365.6,1410,1215,48
6.979,365.6,1410,1215,48
6.989,365.6,1410,1215,48
6.999,366.45,1410,1215,48
7.009,366.45,1410,1215,48
7.019,366.45,1410,1215,48
7.03,366.45,1410,1215,48
7.04,366.45,1410,1215,48
7.05,366.45,1410,1215,48
7.06,366.45,1410,1215,48
7.07,366.45,1410,1215,48
7.08,366.45,1410,1215,48
7.091,366.45,1410,1215,48
7.101,365.92,1410,1215,48
7.111,365.92,1410,1215,48
7.121,365.92,1410,1215,48
7.131,365.92,1410,1215,48
7.142,365.92,1410,1215,48
7.152,365.92,1410,1215,48
7.162,365.92,1410,1215,48
7.172,365.92,1410,1215,48
7.182,365.92,1410,1215,48
7.193,365.92,1410,1215,48
7.203,365.32,1410,1215,48
7.213,365.32,1410,1215,48
7.223,365.32,1410,1215,48
7.233,365.32,1410,1215,48
7.244,365.32,1410,1215,48
7.254,365.32,1410,1215,48
7.264,365.32,1410,1215,48
7.274,365.32,1410,1215,48
7.284,365.32,1410,1215,48
7.294,365.32,1410,1215,48
7.305,365.92,1410,1215,48
7.315,365.92,1410,1215,48
7.325,365.92,1410,1215,48
7.335,365.92,1410,1215,48
7.345,365.92,1410,1215,48
7.356,365.92,1410,1215,48
7.366,365.92,1410,1215,48
7.376,365.92,1410,1215,48
7.386,365.92,1410,1215,48
7.396,365.32,1410,1215,48
7.407,365.32,1410,1215,48
7.417,365.32,1410,1215,48
7.427,365.32,1410,1215,48
7.437,365.32,1410,1215,48
7.447,365.32,1410,1215,48
7.458,365.32,1410,1215,48
